model,lo,hi,n,mean_p,empirical_rate,abs_calibration_error
market_pre_final,0.0,0.1,801,0.001417638428147802,0.0,0.001417638428147802
market_pre_final,0.1,0.2,0,,,
market_pre_final,0.2,0.30000000000000004,0,,,
market_pre_final,0.30000000000000004,0.4,0,,,
market_pre_final,0.4,0.5,0,,,
market_pre_final,0.5,0.6000000000000001,0,,,
market_pre_final,0.6000000000000001,0.7000000000000001,0,,,
market_pre_final,0.7000000000000001,0.8,0,,,
market_pre_final,0.8,0.9,0,,,
market_pre_final,0.9,1.0,199,0.997982757405497,1.0,0.002017242594502977
market_final,0.0,0.1,801,0.001050083114629219,0.0,0.001050083114629219
market_final,0.1,0.2,0,,,
market_final,0.2,0.30000000000000004,0,,,
market_final,0.30000000000000004,0.4,0,,,
market_final,0.4,0.5,0,,,
market_final,0.5,0.6000000000000001,0,,,
market_final,0.6000000000000001,0.7000000000000001,0,,,
market_final,0.7000000000000001,0.8,0,,,
market_final,0.8,0.9,0,,,
market_final,0.9,1.0,199,0.9982774275795794,1.0,0.0017225724204206205
base,0.0,0.1,402,0.007279714871714199,0.2512437810945274,0.2439640662228132
base,0.1,0.2,31,0.14096873530548706,0.16129032258064516,0.020321587275158093
base,0.2,0.30000000000000004,19,0.24184890841356105,0.15789473684210525,0.0839541715714558
base,0.30000000000000004,0.4,7,0.3535349151688191,0.2857142857142857,0.06782062945453338
base,0.4,0.5,14,0.45061320989995063,0.21428571428571427,0.23632749561423635
base,0.5,0.6000000000000001,13,0.5415919687103297,0.23076923076923078,0.3108227379410989
base,0.6000000000000001,0.7000000000000001,13,0.6524894310284164,0.07692307692307693,0.5755663541053395
base,0.7000000000000001,0.8,23,0.7661076771822749,0.21739130434782608,0.5487163728344489
base,0.8,0.9,25,0.8656510188416486,0.12,0.7456510188416486
base,0.9,1.0,453,0.9897931778934619,0.16114790286975716,0.8286452750237048
rw_volume,0.0,0.1,485,1e-12,0.21443298969072164,0.21443298968972163
rw_volume,0.1,0.2,1,0.10982079125363674,0.0,0.10982079125363674
rw_volume,0.2,0.30000000000000004,0,,,
rw_volume,0.30000000000000004,0.4,0,,,
rw_volume,0.4,0.5,0,,,
rw_volume,0.5,0.6000000000000001,1,0.5,0.0,0.5
rw_volume,0.6000000000000001,0.7000000000000001,0,,,
rw_volume,0.7000000000000001,0.8,0,,,
rw_volume,0.8,0.9,0,,,
rw_volume,0.9,1.0,513,0.9999987139077311,0.18518518518518517,0.814813528722546
log_ar_volume,0.0,0.1,485,0.0009859748680918453,0.1958762886597938,0.19489031379170196
log_ar_volume,0.1,0.2,5,0.1737780943931025,0.6,0.4262219056068975
log_ar_volume,0.2,0.30000000000000004,2,0.2548631694261445,0.0,0.2548631694261445
log_ar_volume,0.30000000000000004,0.4,3,0.3791980248208682,0.0,0.3791980248208682
log_ar_volume,0.4,0.5,1,0.44404410793866167,1.0,0.5559558920613383
log_ar_volume,0.5,0.6000000000000001,1,0.5598811435698425,1.0,0.44011885643015747
log_ar_volume,0.6000000000000001,0.7000000000000001,1,0.6373850170123061,0.0,0.6373850170123061
log_ar_volume,0.7000000000000001,0.8,4,0.7854355271894344,0.25,0.5354355271894344
log_ar_volume,0.8,0.9,6,0.8683182852048841,0.16666666666666666,0.7016516185382174
log_ar_volume,0.9,1.0,492,0.9983880513281008,0.19715447154471544,0.8012335797833854
reversal,0.0,0.1,475,0.002031104468302329,0.2231578947368421,0.2211267902685398
reversal,0.1,0.2,6,0.1543213411915377,0.3333333333333333,0.1790119921417956
reversal,0.2,0.30000000000000004,4,0.2603868914452525,0.0,0.2603868914452525
reversal,0.30000000000000004,0.4,4,0.3243577211341925,0.25,0.07435772113419248
reversal,0.4,0.5,2,0.4637135127869229,0.0,0.4637135127869229
reversal,0.5,0.6000000000000001,3,0.5432603119036582,0.0,0.5432603119036582
reversal,0.6000000000000001,0.7000000000000001,2,0.6481536874192871,0.0,0.6481536874192871
reversal,0.7000000000000001,0.8,3,0.7246664893224404,0.3333333333333333,0.39133315598910706
reversal,0.8,0.9,3,0.8247983054059046,0.3333333333333333,0.4914649720725713
reversal,0.9,1.0,498,0.998687385428161,0.17670682730923695,0.8219805581189241
reversal_burst,0.0,0.1,485,0.0005735873284658586,0.20618556701030927,0.20561197968184342
reversal_burst,0.1,0.2,2,0.1309059763108455,0.5,0.3690940236891545
reversal_burst,0.2,0.30000000000000004,1,0.2524000284354057,0.0,0.2524000284354057
