model_a,model_b,n_shared,mean_log_loss_a_minus_b,mean_brier_a_minus_b,mean_abs_posterior_diff,median_abs_posterior_diff,decision_disagreement_rate
base,log_ar_volume,1000,-5.371206895613797,0.02117228240297917,0.47301938161646134,0.30717927786702726,0.475
base,market_final,1000,6.787878478150993,0.5190251269503683,0.5509530296583114,0.8419840876320648,0.556
base,market_pre_final,1000,6.787521585106187,0.5190175895610157,0.5508578847928934,0.8378651254822047,0.556
base,reversal,1000,-5.950050556783703,-0.0030276149500453025,0.4853259619577445,0.3886451293973895,0.492
base,reversal_burst,1000,-6.512396565794829,0.007455276973164236,0.515237109989322,0.6189169127076409,0.522
base,reversal_momentum_burst,1000,-5.80195277470242,0.0261760885275352,0.49555728804436616,0.4709480506371182,0.496
base,rw_volume,1000,-7.614835803225355,-0.003224053061765824,0.4947916962205858,0.4513951297638612,0.495
log_ar_volume,market_final,1000,12.159085373764789,0.49785284454738904,0.5027148814270433,0.7718772271476512,0.503
log_ar_volume,market_pre_final,1000,12.158728480719985,0.4978453071580365,0.5028443812002827,0.7721272271476511,0.503
log_ar_volume,reversal,1000,-0.5788436611699056,-0.024199897353024476,0.514744636185077,0.7923493966437425,0.515
log_ar_volume,reversal_burst,1000,-1.1411896701810325,-0.013717005429814931,0.47502007100855737,0.03647458210295069,0.475
log_ar_volume,reversal_momentum_burst,1000,-0.4307458790886229,0.005003806124556025,0.5042275798155826,0.7175258965069312,0.505
log_ar_volume,rw_volume,1000,-2.243628907611558,-0.024396335464745,0.4964369439207075,0.30408979667104397,0.498
market_final,market_pre_final,1000,-0.0003568930448055618,-7.537389352585012e-06,0.0008651316643946054,0.0,0.0
market_final,reversal,1000,-12.737929034934696,-0.5220527419004136,0.5284821789923799,0.984535099732805,0.528
market_final,reversal_burst,1000,-13.300275043945824,-0.5115698499772039,0.5138596924742445,0.9929999999431103,0.514
market_final,reversal_momentum_burst,1000,-12.589831252853413,-0.49284903842283306,0.4943394221137804,0.03721055303930507,0.494
market_final,rw_volume,1000,-14.402714281376346,-0.522249180012134,0.5224557366024783,0.9985477431773182,0.523
market_pre_final,reversal,1000,-12.73757214188989,-0.522045204511061,0.5286923327785794,0.984011170379598,0.528
market_pre_final,reversal_burst,1000,-13.299918150901018,-0.5115623125878515,0.5139537146058146,0.987749999999,0.514
market_pre_final,reversal_momentum_burst,1000,-12.58947435980861,-0.49284150103348057,0.49429801085167047,0.0374605530393051,0.494
market_pre_final,rw_volume,1000,-14.40235738833154,-0.5222416426227816,0.5224574092544153,0.9944249329748713,0.523
reversal,reversal_burst,1000,-0.5623460090111271,0.01048289192320955,0.4951352963229155,0.310974108781677,0.496
reversal,reversal_momentum_burst,1000,0.1480977820812827,0.029203703477580504,0.5035837602757764,0.6255031369631898,0.504
reversal,rw_volume,1000,-1.6647852464416524,-0.00019643811172051563,0.5113006551398944,0.8635312860729307,0.509
reversal_burst,reversal_momentum_burst,1000,0.7104437910924097,0.018720811554370952,0.5027442298166762,0.7019128591981705,0.504
reversal_burst,rw_volume,1000,-1.102439237430525,-0.010679330034930065,0.48853936816341165,0.014996340886757678,0.489
reversal_momentum_burst,rw_volume,1000,-1.8128830285229347,-0.029400141589301026,0.5029651308991689,0.7591126417326581,0.503
